Industry Category,Industry Sub Category,Company Name,Latitude,Longitude,URL,NAICS 2022 Code,NAICS 2022 Description,Key Words/ Phrases,
Clothing,Accessories,190 LEATHERWORKS LLC,43.45514,-71.6656,http://www.190leatherworks.com,316990,Other Leather and Allied Product Manufacturing,Requires Research,
Advertising,,"FIRST IMPRESSIONS IMPRINTED SPORTSWEAR, LLC",43.64128,-72.2298,http://www.1stimpressionsprinting.com,323113,Commercial Screen Printing,Requires Research,
Clothing,Apparel,"First IMPRESSIONS IMPRINTED SPORTSWEAR, LLC",43.64128,-72.2298,http://www.1stimpressionsprinting.com,323113,Commercial Screen Printing,Requires Research,
Advertising,Print,27TH EXPOSURE LLC,44.30637,-71.7724,http://www.603printer.com,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",Requires Research,
Tech,Services,329 Engineering,43.19524,-71.6846,http://www.329engineering.com,339999,All Other Miscellaneous Manufacturing,Requires Research,
Advertising,Apparel,5 BUCKS DIGITIZING,42.7904,-71.5202,http://www.5bucksdigitizing.com,314999,All Other Miscellaneous Textile Product Mills,Requires Research,
Clothing,Apparel,5 BUCKS DIGITIZING,42.7904,-71.5202,http://www.5bucksdigitizing.com,314999,All Other Miscellaneous Textile Product Mills,Requires Research,
Construction,Metal Work,"603 METALS, LLC",42.98223,-71.4084,http://www.603metals.com,332312,Fabricated Structural Metal Manufacturing,Requires Research,
Energy,Fossil Fuel,603 OIL AND FUEL LLC,43.75507,-71.3764,http://www.603oil.com,324110,Petroleum Refineries,Requires Research,
Food & Agro,Breweries-Wineries-Distilleries,"603 BREWERY, LLC",42.91502,-71.3648,http://www.603brewery.com,312130,Wineries,Requires Research,
Automotive,Auto Parts,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
BioChem,Medical Devices,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
DOD,Aerospace,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
Tech,Parts,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
Food & Agro,Pet Food - Supplies,"603 PERFORMANCE HORSE & PET SUPPLY, LLC",44.87262,-71.4195,https://603performancehorseandpetsupply.com/,339999,All Other Miscellaneous Manufacturing,Requires Research,
DOD,Maritime Industrial Base,A & E Ship Repair & Welding LLC,42.94492,-70.8449,https://www.aeshiprepair.com/,336611,Ship Building and Repairing,Requires Research,
Construction,Equipment,"A & G Crane, LLC",43.0651,-71.4436,http://www.americancranenh.com,333120,Construction Machinery Manufacturing,Requires Research,
Advertising,Print,A & J GRAFIX LLC,43.03929,-71.1717,http://www.anjgrafix.com,339950,Sign Manufacturing,Requires Research,
Consumer Goods,Kitchen Accessories,A & R WOODWORKS LLC,42.81781,-72.5349,https://www.arwoodworks.art/,321918,Other Millwork (including Flooring),Requires Research,
Construction,Woodworking,A H NELSEN ASSOCIATES LLC,42.89522,-71.0657,sales organization for manufacturation,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",Requires Research,commercial development (North Branch) - smart cabinetry New Paris Indiana selling to larger products - bought out by The Cabinet Works (40-50 cabinet lines)
BioChem,Medical Devices,"A&A DENTAL LAB, LLC",43.52774,-72.2884,Unknown,339116,Dental Laboratories,Requires Research,
Construction,Structural,A. COOK AND SON SEALCOATING LLC,43.31659,-71.4539,Unknown,324122,Asphalt Shingle and Coating Materials Manufacturing,Requires Research,
Construction,Woodworking,"A. N. MCSHEFFREY WOODWORKS, LLC",43.44426,-71.4638,http://www.mcsheffreywoodworks.com,321918,Other Millwork (including Flooring),Requires Research,
Construction,Plumbing,"A. SMITH HEATING, COOLING, AND SHEET METAL, LLC",43.38673,-71.4233,Unknown,332322,Sheet Metal Work Manufacturing,Requires Research,
Construction,Woodworking,A P Dailey Custom Laminating Corp.,42.80259,-71.317,http://www.apdailey.com,321911,Wood Window and Door Manufacturing,Requires Research,
Automotive,Auto Parts,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
BioChem,Medical Devices,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
DOD,Communication,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
Energy,General,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
Tech,Parts,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
BioChem,Medical Devices,AA PLASTIC AND METAL FABRICATORS INC,42.77373,-72.1728,http://www.aaplasticandmetalfabricators.com,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Requires Research,
DOD,General,AA PLASTIC AND METAL FABRICATORS INC,42.77373,-72.1728,http://www.aaplasticandmetalfabricators.com,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Requires Research,
Tech,SemiConductor,AA PLASTIC AND METAL FABRICATORS INC,42.77373,-72.1728,http://www.aaplasticandmetalfabricators.com,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Requires Research,
Energy,Power Packs/ Batteries,AAK Power Supply Corporation,42.82186,-71.059,http://www.aakpowersupply.com,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Requires Research,
Consumer Goods,Machine Shop,"ABSOLUTE MANUFACTURING, LLC.",43.01772,-71.3987,http://www.absolutemanufacturing.com,332710,Machine Shops,Requires Research,
DOD,Aerospace,"Abtech, Inc.",42.78893,-72.1476,http://www.abtechmfg.com,332710,Machine Shops,Requires Research,
Industrial,Machines for Manufacturing,"Abtech, Inc.",42.78893,-72.1476,http://www.abtechmfg.com,332710,Machine Shops,Requires Research,
DOD,General,ACADIA MANUFACTURING LLC,43.36797,-72.0828,http://www.acadiamfg.com,339999,All Other Miscellaneous Manufacturing,Requires Research,
Food & Agro,Food,Acana Northeast Inc.,43.1891,-71.4791,www.icecreamflavors.com,333241,Food Product Machinery Manufacturing,Requires Research,
DOD,General,"Accelerator Systems, Incorporated",42.852,-71.1959,http://www.acceleratorsystems.com,334419,Other Electronic Component Manufacturing,Requires Research,
Construction,Accessibility,Accessibility Systems Inc.,43.3605,-72.313,http://www.accessibilitysystems.com,333921,Elevator and Moving Stairway Manufacturing,Requires Research,
Industrial,Finishes,Aalberts Surface Technologies (Accurate Brazing Corporation),42.9933,-71.5199,http://www.aalberts-ab.us,332811,Metal Heat Treating,Requires Research,
DOD,Machine Shop,ACCURATE INSTRUMENT SERVICES LLC,42.82792,-71.0689,https://www.environmentns.com/,332710,Machine Shops,Requires Research,
DOD,MIB,AccuTech Marine Propeller Inc,43.187905,-70.915701,www.accutechmachine.com,332721,Precision Turned Prduct Manufacturing,Requires Research,
DOD,Machine Shop,Ace Machine Inc,42.88176,-71.1511,http://www.ace-machine.com,332710,Machine Shops,Requires Research,
Industrial,Parts,Ace Machine Inc,42.88176,-71.1511,http://www.ace-machine.com,332710,Machine Shops,Requires Research,
BioChem,Medical Devices,Ace Machine Inc,42.88176,-71.1511,http://www.ace-machine.com,332710,Machine Shops,Requires Research,
Automotive,Auto Parts,Ace Welding Co,42.722248,-71.443641,http://www.aceweldingnh.com/,332312,not listed in CIS,Requires Research,
Construction,Metal Work,Ace Welding Co,42.722248,-71.443641,http://www.aceweldingnh.com/,332312,not listed in CIS,Requires Research,
Energy,Fossil Fuel (lines),Ace Welding Co,42.722248,-71.443641,http://www.aceweldingnh.com/,332312,not listed in CIS,Requires Research,
Construction,Plumbing,Acme Sales,42.87522,-71.364,https://hvacofnj.com/business/acme-sales-nh-14110798/,332919,Other Metal Valve and Pipe Fitting Manufacturing,Requires Research,
Construction,,"ACME Staple Company, Inc.",43.46198,-71.66,http://www.acmestaple.com,332618,Other Fabricated Wire Product Manufacturing,Requires Research,
Consumer Goods,Hobbies and Recreation,"ACME Staple Company, Inc.",43.46198,-71.66,http://www.acmestaple.com,332618,Other Fabricated Wire Product Manufacturing,Requires Research,
Automotive,Parts,ACTON CUSTOM ENTERPRISES L.L.C.,43.71527,-71.5312,http://www.actoncustom.com,336370,Motor Vehicle Metal Stamping,Requires Research,
Industrial,Measuring & Testing,Acu Gage,42.77977,-71.379906,www.acu-gage.com,334515,Instrument Mfg For Measuring & Testing Elec & Elctric Signals,Requires Research,
Education,Vocational,Adams and Associates,43.024085,-71.501909,https://adamsaai.com/job_corps/new-hampshire-new-hampshire/,611513,Apprenticeship Training Schools,Requires Research,
Tech,Parts,Adaptable Computer LLC,42.890507,-70.89661,www.adaptablecomputer.com,423430,Computer and computer Peripheral Equipment and Software,Requires Research,
BioChem,BioFab/ Pharma,Adaptive Control Systems LLC,42.955686,-71.215147,www.acs-ne.com,335313,not listed in CIS,Requires Research,
Industrial,Machines for Manufacturing,Adaptive Control Systems LLC,42.955686,-71.215147,www.acs-ne.com,335313,not listed in CIS,Requires Research,
DOD,DOD,Adax Machine Co Inc,42.7321,-71.4273,http://www.adaxmachine.com,332710,Machine Shops,Requires Research,
Tech,Circuit Boards,"Additive Circuits, Inc.",43.52038,-71.4757,http://www.additive.com,334419,Other Electronic Component Manufacturing,Requires Research,
Adveftising,Signs,Adel Signs,43.42128,-71.4237,http://www.adelsigns.com,339950,Sign Manufacturing,Requires Research,
Construction,General,"Adhesive Technologies, Inc.",42.94421,-70.845,http://www.adhesivetech.com,325520,Adhesive Manufacturing,Requires Research,
Consumer Goods,Hobbies and Recreation,"ADHESIVE TECHNOLOGIES, INC.",43.0805,-70.8094,http://www.adhesivetech.com,325520,Adhesive Manufacturing,Requires Research,
Industrial,General,"Adhesive Technologies, Inc.",42.94421,-70.845,http://www.adhesivetech.com,325520,Adhesive Manufacturing,Requires Research,
BioChem,BioFab/ Pharma,Adimab,43.63715,-72.2355,https://adimab.com/who-we-are/#about-us,Not Listed in CIS,Not Listed in CIS,Requires Research,
Education,Colleges & Universities,Adimab,43.63715,-72.2355,https://adimab.com/who-we-are/#about-us,Not Listed in CIS,Not Listed in CIS,Requires Research,
BioChem,Chem Industrial/ Pharma,"Admix, Inc.",42.92864,-71.4234,http://www.admix.com,333241,Food Product Machinery Manufacturing,Requires Research,
Construction,General,"Admix, Inc.",42.92864,-71.4234,http://www.admix.com,333241,Food Product Machinery Manufacturing,Requires Research,
Food & Agro,Beverage (non-alcoholic)/ Food,"Admix, Inc.",42.92864,-71.4234,http://www.admix.com,333241,Food Product Machinery Manufacturing,Requires Research,
Construction,,"ADVANCE CONCRETE FORM, INC.",42.97299,-71.4038,http://www.advanceconcreteform.com,332322,Sheet Metal Work Manufacturing,Requires Research,
Construction,Equipment,"Advanced Concrete Technologies, Inc.",43.04308,-70.8255,http://www.concretebiz.com,333120,Construction Machinery Manufacturing,Requires Research,
Construction,Residential,Advanced Custom Cabinets Inc,42.99174,-71.0487,http://www.advancedcustomcabinets.com,337212,Custom Architectural Woodwork and Millwork Manufacturing,Requires Research,
DOD,,"Advanced Design & Manufacturing, Inc.",43.03764,-70.7987,http://www.advanceddesign.com,334419,Other Electronic Component Manufacturing,Requires Research,
Energy,Fossil Fuel/ Battery/ Power Packs,"Advanced Design & Manufacturing, Inc.",43.03764,-70.7987,http://www.advanceddesign.com,334419,Other Electronic Component Manufacturing,Requires Research,
BioChem,Med Devices,Advanced Fitness Components LLC,42.73392,-71.4293,http://www.spinoflex.com,339920,Sporting and Athletic Goods Manufacturing,Requires Research,
BioChem,Med Devices,Advanced Machine Technologies,42.87895,-71.3431,https://www.mfg.com/manufacturer/advanced-machine-technologies-londonderry-new-hampshire-591167/,332710,Machine Shops,Requires Research,
DOD,,Advanced Machine Technologies,42.87895,-71.3431,https://www.mfg.com/manufacturer/advanced-machine-technologies-londonderry-new-hampshire-591167/,332710,Machine Shops,Requires Research,
Industrial,Measuring and Testing,Advanced Microanalytical,42.77692,-71.26055,https://www.advancedmicroanalytical.com/,339999,not listed in CIS,Requires Research,
BioChem,Chem Industrial,"Advanced Polymerics, Inc.",42.74347,-71.2068,http://www.api-smartcoat.com,325510,Paint and Coating Manufacturing,Requires Research,
Construction,Finishes,"Advanced Polymerics, Inc.",42.74347,-71.2068,http://www.api-smartcoat.com,325510,Paint and Coating Manufacturing,Requires Research,
Industrial,General,"Advanced Polymerics, Inc.",42.74347,-71.2068,http://www.api-smartcoat.com,325510,Paint and Coating Manufacturing,Requires Research,
DOD,DOD,"ADVANCED PROGRAMS, INC.",42.77687,-71.2648,http://www.advprograms.com,334111,Electronic Computer Manufacturing,Requires Research,
Tech,Parts,"ADVANCED PROGRAMS, INC.",42.77687,-71.2648,http://www.advprograms.com,334111,Electronic Computer Manufacturing,Requires Research,
Tech,Services,"ADVANCED PROGRAMS, INC.",42.77687,-71.2648,http://www.advprograms.com,334111,Electronic Computer Manufacturing,Requires Research,
BioChem,BioFab,Advanced Solutions,42.98848,-71.4621,https://www.advancedsolutions.com/,Not Listed in CIS,not listed in CIS,Requires Research,
Indistrial,Robots for Manufacturing,Advanced Solutions,42.98848,-71.4621,https://www.advancedsolutions.com/,Not Listed in CIS,not listed in CIS,Requires Research,
Industrial,Tooling & Molding,"Advantage Mold, Inc.",42.9155,-71.3975,http://www.advantagemoldinc.com,326199,All Other Plastics Product Manufacturing,Requires Research,
BioChem,Med Supplies,Advantage Plastic Products,43.20359,-71.4885,http://www.app-nh.com,326199,All Other Plastics Product Manufacturing,Requires Research,
industrial,General,Advantage Plastic Products,43.20359,-71.4885,http://www.app-nh.com,326199,All Other Plastics Product Manufacturing,Requires Research,
Advertising,Signs,"ADVANTAGE SIGNS, INC.",43.1832,-71.5232,http://www.advantagesigns.net,339950,Sign Manufacturing,Requires Research,
BioChem,Chem Personal,Adventure Ready Brands,44.288312,-71.7994,https://adventurereadybrands.com/,not listed in CIS,not listed in CIS,Requires Research,
Consumer Goods,Health And Wellness,Adventure Ready Brands,44.288312,-71.7994,https://adventurereadybrands.com/,not listed in CIS,not listed in CIS,Requires Research,
Consumer Goods,Hobbies and Recreation,Adventure Ready Brands,44.288312,-71.7994,https://adventurereadybrands.com/,not listed in CIS,not listed in CIS,Requires Research,
Consumer Goods,Packaging,Aegis Container (a division of index packaging,42.835577,-71.649535,https://indexpackaging.com/,not listed in CIS,not listed in CIS,Requires Research,
Construction,Equipment,AERATION TECHNOLOGIES INC,42.90294,-71.3495,http://www.aertec.com,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,Requires Research,
Consumer Goods,Hobbies and Recreation,AERODRO MANUFACTURING LLC,42.98011,-71.4735,Unknown,339999,All Other Miscellaneous Manufacturing,Requires Research,
BioChem,Medical Devices,"AeroDynamics, LLC",42.88703,-70.8871,http://www.aerodynamicsmetalfinishing.com,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",Requires Research,
DOD,Aerospace,"AeroDynamics, LLC",42.88703,-70.8871,http://www.aerodynamicsmetalfinishing.com,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",Requires Research,
Tech,Parts,"AeroDynamics, LLC",42.88703,-70.8871,http://www.aerodynamicsmetalfinishing.com,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",Requires Research,
,,Aeroflex Utmc,42.70813,-71.4484,,334413,Semiconductor and Related Device Manufacturing,Requires Research,
,,Aeroplas Corporation International,42.72893,-71.6331,https://aeroplas.net/,325211,Plastics Material and Resin Manufacturing,Requires Research,
DOD,Aerospace,"Aeroweld, Inc.",43.56076,-71.4505,http://www.aeroweld-nh.com,336412,Aircraft Engine and Engine Parts Manufacturing,Requires Research,
Industrial,Tooling & Molding,"Aeroweld, Inc.",43.56076,-71.4505,http://www.aeroweld-nh.com,336412,Aircraft Engine and Engine Parts Manufacturing,Requires Research,
Construction,Lighting,Affinity Led Light LLC,43.19456,-70.8714,http://www.affinityled.com,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",Requires Research,
Construction,,AFL Test abd Inspection Division,43.47695,-71.465,http://www.aflglobal.com,335929,Other Communication and Energy Wire Manufacturing,Requires Research,
Food & Agro,Agricultural Products,Again and Again Farmstead,43.8598,-71.2631,https://againfarmstead.com/,Not Listed in CIS,Not Listed in CIS,Requires Research,
BioChem,Med Device,Agamatrix,42.775476,-71.239173,https://agamatrix.com/,Not Listed in CIS,Not Listed in CIS,Requires Research,
0,,AGCO CORPORATION,43.24622,-72.4272,http://www.agcocorp.com,333111,Farm Machinery and Equipment Manufacturing,Requires Research,
DOD,,Agile Magnetics,43.210842,-71.496483,https://agilemagco.com/,335311,Not Listed in CIS,Requires Research,
Energy,Power Packs/ Batteries,Agile Magnetics,43.210842,-71.496483,https://agilemagco.com/,335311,Not Listed in CIS,Requires Research,
Industrial,General,Agile Magnetics,43.210842,-71.496483,https://agilemagco.com/,335311,Not Listed in CIS,Requires Research,
Tech,Circuit Boards,Agile Magnetics,43.210842,-71.496483,https://agilemagco.com/,335311,Not Listed in CIS,Requires Research,
Tech,Parts,Agile Magnetics,43.210842,-71.496483,https://agilemagco.com/,335311,Not Listed in CIS,Requires Research,
Tech,Semi Conductors,Agile Magnetics,43.210842,-71.496483,https://agilemagco.com/,335311,Not Listed in CIS,Requires Research,
Tech,Circuit Boards,Agility Mfg Inc,43.18359,-70.8762,http://www.agilitymfg.com,334412,Bare Printed Circuit Board Manufacturing,Requires Research,
BioChem,Chem Industrial,Airgas,42.774395,-71.260898,https://www.airgas.com/,Not Listed in CIS,Not Listed in CIS,Requires Research,
DOD,MIB,Airgas,42.774395,-71.260898,https://www.airgas.com/,Not Listed in CIS,Not Listed in CIS,Requires Research,
Energy,Fossil Fuel,Airgas,42.774395,-71.260898,https://www.airgas.com/,Not Listed in CIS,Not Listed in CIS,Requires Research,
Industrial,General,Airgas,42.774395,-71.260898,https://www.airgas.com/,Not Listed in CIS,Not Listed in CIS,Requires Research,
Automotive,Accessories,Air Vacuum Corporation,43.27128,-70.9675,http://www.airvac911.com,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
Industrial,Facility Maintenance,Air Vacuum Corporation,43.27128,-70.9675,http://www.airvac911.com,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
Construction,General,Airex Corporation,42.73942,-71.4309,http://www.airexfilter.com,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
Consumer Goods,Health and Wellness,Airex Corporation,42.73942,-71.4309,http://www.airexfilter.com,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
Industrial,Facility Maintenance,Airex Corporation,42.73942,-71.4309,http://www.airexfilter.com,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
BioChem,Life Science,"Airex, LLC (allied motion)",43.56831,-71.4671,,335311,"Power, Distribution, and Specialty Transformer Manufacturing",Requires Research,
DOD,Aerospace,"Airex, LLC (allied motion)",43.56831,-71.4671,,335311,"Power, Distribution, and Specialty Transformer Manufacturing",Requires Research,
Tech,Semiconductor,"Airex, LLC (allied motion)",43.56831,-71.4671,,335311,"Power, Distribution, and Specialty Transformer Manufacturing",Requires Research,
Consumer Goods,Communication,Airlinx,42.750334,-71.843654,http://www.airlinx.com,Not Listed in CIS,Not Listed in CIS,Requires Research,
DOD,Communication,Airlinx,42.750334,-71.843654,http://www.airlinx.com,Not Listed in CIS,Not Listed in CIS,Requires Research,
Consumer Goods,Hobbies and Recreation,Airmar Technology Corp.,42.8371,-71.7046,http://www.airmar.com,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Requires Research,
DOD,Communication,Airmar Technology Corp.,42.8374,-71.7028,http://www.airmar.com,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Requires Research,
Food & Agro,General,Airmar Technology Corp.,42.8374,-71.7028,http://www.airmar.com,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Requires Research,
Food & Agro,Support Products,"AIRMAX INTERNATIONAL, INC.",42.89245,-71.3311,http://www.airmax.net,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
Industrial,Facility Maintenance,"AIRMAX INTERNATIONAL, INC.",42.89245,-71.3311,http://www.airmax.net,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Requires Research,
Consumer Goods Burial,Textiles,"AJ Nonwovens - Hampton, LLC (Asten Johnson)",42.94023,-70.8444,http://www.ajnw.com,313210,Broadwoven Fabric Mills,"Needle Punch textiles, aerospace, cabin air filters, flooring, healthcare, mlisture wicking fabricks, fabrics that control bacteria, mold, mildew, fungus growth; cure in place pipe, corrosion-resistant polymers to fortify or repair in-use piping; Automotive flooring, seating, trunk lining, underbody, headliners; filtration technology, craft felt, footwear performance materials, sustainable materials for footwear; marine/RV flooring, seating, underbody",
DOD,General,"AKA Tool, Inc.",43.50862,-71.4513,http://www.akatool.com,332710,Machine Shops,Requires Research,
Construction,Metal Work,"Al Cu Met, Inc.",42.91773,-71.4206,http://www.alcumet.com,331529,Other Nonferrous Metal Foundries (except Die-Casting),Requires Research,
BioChem,Med Devices,"Alacron, Inc.",42.70813,-71.4484,http://www.alacron.com,334111,Electronic Computer Manufacturing,Requires Research,
Consumer Goods,Hobbies and Recreation,"Alacron, Inc.",42.70813,-71.4484,http://www.alacron.com,334111,Electronic Computer Manufacturing,Requires Research,
DOD,General,"Alacron, Inc.",42.70813,-71.4484,http://www.alacron.com,334111,Electronic Computer Manufacturing,Requires Research,
Food & Agro,Support Products,"Alacron, Inc.",42.70813,-71.4484,http://www.alacron.com,334111,Electronic Computer Manufacturing,Requires Research,
Industrial,General,"Alacron, Inc.",42.70813,-71.4484,http://www.alacron.com,334111,Electronic Computer Manufacturing,Requires Research,
BioChem,Med Devices,"ALAN T. SEELER INC. (ATS Precision, MARCAM)",43.60329,-71.6347,http://www.atsprecision.com,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",Requires Research,
DOD,Aerospace,"ALAN T. SEELER INC. (ATS Precision, MARCAM)",43.60329,-71.6347,http://www.atsprecision.com,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",Requires Research,
Tech,Parts,"ALAN T. SEELER INC. (ATS Precision, MARCAM)",43.60329,-71.6347,http://www.atsprecision.com,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",Requires Research,
DOD,Aerospace,ALBANY INTERNATIONAL CORP. (Albany Engineered Composites,43.28187,-70.9132,http://www.albint.com,313210,Broadwoven Fabric Mills,Requires Research,
Industrial,Machines for Manufacturing,ALBANY INTERNATIONAL CORP. (Albany Engineered Composites,43.28187,-70.9132,http://www.albint.com,313210,Broadwoven Fabric Mills,Requires Research,
Construction,Metal Work,Albert Landry,42.76003,-71.4707,http://www.landlfabricators.com,332322,Sheet Metal Work Manufacturing,Requires Research,
DOD,General,Albert Langin,42.75636,-71.3227,Unknown,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Requires Research,
Advertising,Signs,Albrite Signs LLC,44.38276,-71.1721,Unknown,339950,Sign Manufacturing,Requires Research,
BioChem,Pharma,Alcami Carolinas Corporation,42.8048,-71.5713,http://www.alcami.com,325412,Pharmaceutical Preparation Manufacturing,Requires Research,
